Photon   |Coherent|Incoher.|Photoel.|Tot. w/ |
Energy   |Scatter.|Scatter.|Absorb. |Coherent|

1.000E-03|1.363E+00|1.038E-02|3.605E+03|3.606E+03|
1.500E-03|1.247E+00|2.116E-02|1.190E+03|1.191E+03|
2.000E-03|1.116E+00|3.339E-02|5.269E+02|5.281E+02|
3.000E-03|8.637E-01|5.748E-02|1.616E+02|1.625E+02|
3.203E-03|8.185E-01|6.195E-02|1.331E+02|1.340E+02|
3.203E-03|8.185E-01|6.195E-02|1.478E+02|1.487E+02|
4.000E-03|6.650E-01|7.769E-02|7.726E+01|7.800E+01|
5.000E-03|5.220E-01|9.330E-02|3.973E+01|4.035E+01|
6.000E-03|4.209E-01|1.051E-01|2.292E+01|2.345E+01|
8.000E-03|2.947E-01|1.213E-01|9.523E+00|9.939E+00|
1.000E-02|2.224E-01|1.316E-01|4.777E+00|5.131E+00|
1.500E-02|1.315E-01|1.471E-01|1.339E+00|1.617E+00|
2.000E-02|8.756E-02|1.556E-01|5.362E-01|7.794E-01|
3.000E-02|4.621E-02|1.625E-01|1.455E-01|3.542E-01|
4.000E-02|2.829E-02|1.631E-01|5.721E-02|2.487E-01|
5.000E-02|1.907E-02|1.613E-01|2.764E-02|2.080E-01|
6.000E-02|1.370E-02|1.586E-01|1.522E-02|1.875E-01|
8.000E-02|8.033E-03|1.523E-01|5.931E-03|1.663E-01|
1.000E-01|5.258E-03|1.460E-01|2.856E-03|1.541E-01|
1.410E-01|2.706E-03|1.346E-01|9.320E-04|1.383E-01|
1.500E-01|2.398E-03|1.324E-01|7.629E-04|1.356E-01|
2.000E-01|1.362E-03|1.217E-01|3.037E-04|1.233E-01|
3.000E-01|6.100E-04|1.060E-01|8.635E-05|1.067E-01|
4.000E-01|3.440E-04|9.511E-02|3.712E-05|9.549E-02|
5.000E-01|2.205E-04|8.687E-02|2.005E-05|8.712E-02|
6.000E-01|1.532E-04|8.039E-02|1.251E-05|8.055E-02|
8.000E-01|8.624E-05|7.064E-02|6.320E-06|7.074E-02|
1.000E+00|5.521E-05|6.352E-02|3.929E-06|6.358E-02|
1.022E+00|5.287E-05|6.287E-02|3.670E-06|6.293E-02|
1.250E+00|3.535E-05|5.682E-02|2.490E-06|5.687E-02|
1.500E+00|2.455E-05|5.162E-02|1.805E-06|5.175E-02|
2.000E+00|1.381E-05|4.406E-02|1.132E-06|4.447E-02|
2.044E+00|1.322E-05|4.351E-02|1.095E-06|4.394E-02|
3.000E+00|6.137E-06|3.467E-02|6.299E-07|3.581E-02|
4.000E+00|3.453E-06|2.892E-02|4.313E-07|3.079E-02|
5.000E+00|2.210E-06|2.497E-02|3.264E-07|2.751E-02|
6.000E+00|1.535E-06|2.207E-02|2.621E-07|2.522E-02|
7.000E+00|1.128E-06|1.984E-02|2.188E-07|2.354E-02|
8.000E+00|8.634E-07|1.806E-02|1.876E-07|2.226E-02|
9.000E+00|6.822E-07|1.660E-02|1.641E-07|2.125E-02|
1.000E+01|5.526E-07|1.538E-02|1.458E-07|2.045E-02|
1.100E+01|4.566E-07|1.434E-02|1.312E-07|1.979E-02|
1.200E+01|3.836E-07|1.345E-02|1.193E-07|1.925E-02|
1.300E+01|3.269E-07|1.267E-02|1.093E-07|1.880E-02|
1.400E+01|2.819E-07|1.199E-02|1.008E-07|1.842E-02|
1.500E+01|2.455E-07|1.138E-02|9.357E-08|1.810E-02|
1.600E+01|2.158E-07|1.084E-02|8.732E-08|1.783E-02|
1.800E+01|1.705E-07|9.907E-03|7.697E-08|1.739E-02|
2.000E+01|1.381E-07|9.134E-03|6.884E-08|1.706E-02|
2.200E+01|1.141E-07|8.486E-03|6.224E-08|1.681E-02|
2.400E+01|9.592E-08|7.928E-03|5.680E-08|1.662E-02|
2.600E+01|8.172E-08|7.446E-03|5.223E-08|1.648E-02|
2.800E+01|7.046E-08|7.025E-03|4.834E-08|1.637E-02|
3.000E+01|6.140E-08|6.652E-03|4.499E-08|1.628E-02|
4.000E+01|3.453E-08|5.286E-03|3.341E-08|1.611E-02|
5.000E+01|2.210E-08|4.411E-03|2.657E-08|1.614E-02|
6.000E+01|1.535E-08|3.801E-03|2.205E-08|1.625E-02|
8.000E+01|8.630E-09|2.998E-03|1.646E-08|1.654E-02|
1.000E+02|5.526E-09|2.488E-03|1.312E-08|1.684E-02|
1.500E+02|2.455E-09|1.772E-03|8.716E-09|1.747E-02|
2.000E+02|1.381E-09|1.389E-03|6.523E-09|1.793E-02|
3.000E+02|6.137E-10|9.847E-04|4.340E-09|1.855E-02|
4.000E+02|3.453E-10|7.712E-04|3.252E-09|1.895E-02|
5.000E+02|2.209E-10|6.382E-04|2.600E-09|1.923E-02|
6.000E+02|1.534E-10|5.467E-04|2.166E-09|1.944E-02|
8.000E+02|8.630E-11|4.269E-04|1.623E-09|1.972E-02|
1.000E+03|5.526E-11|3.512E-04|1.298E-09|1.991E-02|
1.500E+03|2.455E-11|2.453E-04|8.653E-10|2.019E-02|
2.000E+03|1.381E-11|1.898E-04|6.488E-10|2.036E-02|
3.000E+03|6.137E-12|1.320E-04|4.324E-10|2.053E-02|
4.000E+03|3.453E-12|1.019E-04|3.243E-10|2.063E-02|
5.000E+03|2.209E-12|8.331E-05|2.594E-10|2.069E-02|
6.000E+03|1.534E-12|7.064E-05|2.162E-10|2.074E-02|
8.000E+03|8.630E-13|5.441E-05|1.621E-10|2.080E-02|
1.000E+04|5.526E-13|4.444E-05|1.297E-10|2.083E-02|
1.500E+04|2.455E-13|3.071E-05|8.646E-11|2.089E-02|
2.000E+04|1.381E-13|2.361E-05|6.484E-11|2.092E-02|
3.000E+04|6.137E-14|1.628E-05|4.323E-11|2.094E-02|
4.000E+04|3.453E-14|1.250E-05|3.242E-11|2.096E-02|
5.000E+04|2.209E-14|1.018E-05|2.594E-11|2.097E-02|
6.000E+04|1.534E-14|8.603E-06|2.161E-11|2.098E-02|
8.000E+04|8.630E-15|6.597E-06|1.621E-11|2.099E-02|
1.000E+05|5.526E-15|5.368E-06|1.297E-11|2.099E-02|
