Photon   |Coherent|Incoher.|Photoel.|Tot. w/ |
Energy   |Scatter.|Scatter.|Absorb. |Coherent|

1.000E-03|8.486E+00|5.298E-03|9.225E+03|9.234E+03|
1.032E-03|8.458E+00|5.552E-03|8.639E+03|8.647E+03|
1.065E-03|8.429E+00|5.817E-03|8.090E+03|8.098E+03|
1.065E-03|8.429E+00|5.817E-03|8.331E+03|8.339E+03|
1.069E-03|8.425E+00|5.846E-03|8.273E+03|8.282E+03|
1.072E-03|8.422E+00|5.874E-03|8.216E+03|8.225E+03|
1.072E-03|8.422E+00|5.874E-03|8.381E+03|8.389E+03|
1.142E-03|8.358E+00|6.443E-03|7.319E+03|7.328E+03|
1.217E-03|8.289E+00|7.056E-03|6.393E+03|6.401E+03|
1.217E-03|8.289E+00|7.056E-03|6.548E+03|6.556E+03|
1.500E-03|8.018E+00|9.427E-03|4.124E+03|4.132E+03|
2.000E-03|7.512E+00|1.372E-02|2.106E+03|2.114E+03|
3.000E-03|6.530E+00|2.197E-02|7.814E+02|7.879E+02|
4.000E-03|5.688E+00|2.936E-02|3.779E+02|3.836E+02|
4.557E-03|5.298E+00|3.302E-02|2.703E+02|2.756E+02|
4.557E-03|5.298E+00|3.302E-02|5.125E+02|5.178E+02|
4.702E-03|5.199E+00|3.393E-02|4.782E+02|4.834E+02|
4.852E-03|5.096E+00|3.485E-02|4.462E+02|4.513E+02|
4.852E-03|5.096E+00|3.485E-02|5.584E+02|5.635E+02|
5.000E-03|4.993E+00|3.575E-02|5.246E+02|5.296E+02|
5.012E-03|4.984E+00|3.582E-02|5.214E+02|5.264E+02|
5.012E-03|4.984E+00|3.582E-02|7.457E+02|7.507E+02|
5.099E-03|4.926E+00|3.634E-02|7.135E+02|7.184E+02|
5.188E-03|4.871E+00|3.686E-02|6.826E+02|6.875E+02|
5.188E-03|4.871E+00|3.686E-02|7.399E+02|7.448E+02|
5.273E-03|4.820E+00|3.735E-02|7.105E+02|7.154E+02|
5.359E-03|4.770E+00|3.784E-02|6.824E+02|6.872E+02|
5.359E-03|4.770E+00|3.784E-02|7.871E+02|7.919E+02|
5.534E-03|4.669E+00|3.882E-02|7.267E+02|7.314E+02|
5.714E-03|4.566E+00|3.980E-02|6.710E+02|6.756E+02|
5.714E-03|4.566E+00|3.980E-02|7.215E+02|7.262E+02|
6.000E-03|4.409E+00|4.133E-02|6.404E+02|6.449E+02|
8.000E-03|3.498E+00|5.092E-02|3.036E+02|3.071E+02|
1.000E-02|2.843E+00|5.922E-02|1.682E+02|1.711E+02|
1.500E-02|1.871E+00|7.519E-02|5.621E+01|5.816E+01|
2.000E-02|1.336E+00|8.581E-02|2.544E+01|2.686E+01|
3.000E-02|7.626E-01|9.833E-02|8.185E+00|9.045E+00|
3.317E-02|6.576E-01|1.009E-01|6.163E+00|6.921E+00|
3.317E-02|6.576E-01|1.009E-01|2.046E+01|2.122E+01|
3.455E-02|6.189E-01|1.018E-01|1.838E+01|1.910E+01|
3.598E-02|5.823E-01|1.027E-01|1.650E+01|1.718E+01|
3.598E-02|5.823E-01|1.027E-01|2.958E+01|3.026E+01|
4.000E-02|4.967E-01|1.049E-01|2.237E+01|2.297E+01|
5.000E-02|3.530E-01|1.085E-01|1.241E+01|1.287E+01|
6.000E-02|2.639E-01|1.102E-01|7.547E+00|7.921E+00|
8.000E-02|1.625E-01|1.108E-01|3.404E+00|3.677E+00|
1.000E-01|1.101E-01|1.093E-01|1.816E+00|2.035E+00|
1.500E-01|5.357E-02|1.030E-01|5.725E-01|7.291E-01|
2.000E-01|3.171E-02|9.654E-02|2.523E-01|3.805E-01|
3.000E-01|1.481E-02|8.583E-02|8.117E-02|1.818E-01|
4.000E-01|8.530E-03|7.772E-02|3.748E-02|1.237E-01|
5.000E-01|5.537E-03|7.139E-02|2.116E-02|9.809E-02|
6.000E-01|3.880E-03|6.629E-02|1.356E-02|8.374E-02|
8.000E-01|2.206E-03|5.846E-02|7.033E-03|6.770E-02|
1.000E+00|1.420E-03|5.266E-02|4.393E-03|5.848E-02|
1.022E+00|1.360E-03|5.211E-02|4.194E-03|5.766E-02|
1.250E+00|9.123E-04|4.715E-02|2.828E-03|5.109E-02|
1.500E+00|6.349E-04|4.289E-02|2.024E-03|4.644E-02|
2.000E+00|3.580E-04|3.663E-02|1.231E-03|4.123E-02|
2.044E+00|3.428E-04|3.618E-02|1.188E-03|4.092E-02|
3.000E+00|1.594E-04|2.884E-02|6.525E-04|3.721E-02|
4.000E+00|8.973E-05|2.406E-02|4.320E-04|3.616E-02|
5.000E+00|5.744E-05|2.079E-02|3.192E-04|3.622E-02|
6.000E+00|3.989E-05|1.837E-02|2.518E-04|3.673E-02|
7.000E+00|2.931E-05|1.652E-02|2.073E-04|3.749E-02|
8.000E+00|2.244E-05|1.503E-02|1.759E-04|3.838E-02|
9.000E+00|1.773E-05|1.382E-02|1.525E-04|3.933E-02|
1.000E+01|1.436E-05|1.280E-02|1.346E-04|4.030E-02|
1.100E+01|1.187E-05|1.194E-02|1.203E-04|4.128E-02|
1.200E+01|9.976E-06|1.120E-02|1.088E-04|4.224E-02|
1.300E+01|8.500E-06|1.055E-02|9.921E-05|4.317E-02|
1.400E+01|7.329E-06|9.981E-03|9.116E-05|4.407E-02|
1.500E+01|6.383E-06|9.478E-03|8.435E-05|4.493E-02|
1.600E+01|5.612E-06|9.026E-03|7.846E-05|4.573E-02|
1.800E+01|4.435E-06|8.247E-03|6.880E-05|4.725E-02|
2.000E+01|3.592E-06|7.605E-03|6.126E-05|4.867E-02|
2.200E+01|2.968E-06|7.065E-03|5.521E-05|5.001E-02|
2.400E+01|2.494E-06|6.604E-03|5.023E-05|5.125E-02|
2.600E+01|2.125E-06|6.200E-03|4.608E-05|5.239E-02|
2.800E+01|1.832E-06|5.848E-03|4.255E-05|5.346E-02|
3.000E+01|1.596E-06|5.537E-03|3.953E-05|5.448E-02|
4.000E+01|8.980E-07|4.401E-03|2.915E-05|5.865E-02|
5.000E+01|5.746E-07|3.674E-03|2.309E-05|6.188E-02|
6.000E+01|3.991E-07|3.165E-03|1.911E-05|6.448E-02|
8.000E+01|2.245E-07|2.496E-03|1.421E-05|6.835E-02|
1.000E+02|1.437E-07|2.072E-03|1.131E-05|7.116E-02|
1.500E+02|6.383E-08|1.476E-03|7.487E-06|7.573E-02|
2.000E+02|3.591E-08|1.157E-03|5.595E-06|7.851E-02|
3.000E+02|1.596E-08|8.198E-04|3.717E-06|8.178E-02|
4.000E+02|8.980E-09|6.423E-04|2.783E-06|8.368E-02|
5.000E+02|5.746E-09|5.315E-04|2.224E-06|8.493E-02|
6.000E+02|3.990E-09|4.551E-04|1.852E-06|8.584E-02|
8.000E+02|2.244E-09|3.555E-04|1.388E-06|8.704E-02|
1.000E+03|1.436E-09|2.924E-04|1.110E-06|8.784E-02|
1.500E+03|6.383E-10|2.042E-04|7.394E-07|8.897E-02|
2.000E+03|3.591E-10|1.581E-04|5.542E-07|8.960E-02|
3.000E+03|1.596E-10|1.099E-04|3.694E-07|9.028E-02|
4.000E+03|8.980E-11|8.484E-05|2.770E-07|9.064E-02|
5.000E+03|5.746E-11|6.937E-05|2.216E-07|9.089E-02|
6.000E+03|3.990E-11|5.881E-05|1.846E-07|9.102E-02|
8.000E+03|2.244E-11|4.532E-05|1.385E-07|9.125E-02|
1.000E+04|1.436E-11|3.700E-05|1.108E-07|9.139E-02|
1.500E+04|6.383E-12|2.557E-05|7.385E-08|9.159E-02|
2.000E+04|3.591E-12|1.966E-05|5.537E-08|9.168E-02|
3.000E+04|1.596E-12|1.356E-05|3.691E-08|9.177E-02|
4.000E+04|8.980E-13|1.041E-05|2.769E-08|9.182E-02|
5.000E+04|5.746E-13|8.477E-06|2.215E-08|9.187E-02|
6.000E+04|3.990E-13|7.165E-06|1.846E-08|9.189E-02|
8.000E+04|2.244E-13|5.493E-06|1.384E-08|9.191E-02|
1.000E+05|1.436E-13|4.470E-06|1.107E-08|9.193E-02|
