X|Al|I|Cs|W|Fe|
0|1.3000E1|5.3000E1|5.5000E1|7.4E1|2.6E1|
1E-2|1.2976E1|5.2955E1|5.4932E1|7.3948E1|2.597E1|
2E-2|1.2903E1|5.2820E1|5.4732E1|7.3793E1|2.5882E1|
3E-2|1.2786E1|5.2597E1|5.4417E1|7.3539E1|2.5738E1|
4E-2|1.2629E1|5.2292E1|5.4008E1|7.3194E1|2.5543E1|
5E-2|1.2439E1|5.1911E1|5.3527E1|7.2767E1|2.5304E1|
6E-2|1.2222E1|5.1460E1|5.2996E1|7.2269E1|2.5026E1|
7E-2|1.1987E1|5.0950E1|5.2430E1|7.1711E1|2.4719E1|
8E-2|1.1739E1|5.0387E1|5.1839E1|7.1103E1|2.4387E1|
9E-2|1.1485E1|4.9781E1|5.1229E1|7.0455E1|2.4038E1|
1E-1|1.1230E1|4.9142E1|5.0603E1|6.9778E1|2.3678E1|
1.1E-1|1.0978E1|4.8476E1|4.9963E1|6.9078E1|2.3310E1|
1.2E-1|1.0733E1|4.7793E1|4.9309E1|6.8363E1|2.2939E1|
1.3E-1|1.0498E1|4.7099E1|4.8645E1|6.7637E1|2.2568E1|
1.4E-1|1.0273E1|4.6400E1|4.7971E1|6.6906E1|2.2197E1|
1.5E-1|1.0059E1|4.5702E1|4.7291E1|6.6172E1|2.1828E1|
1.6E-1|9.8570|4.5008E1|4.6606E1|6.5437E1|2.1465E1|
1.7E-1|9.6670|4.4323E1|4.5921E1|6.4703E1|2.1104E1|
1.8E-1|9.4870|4.3648E1|4.5237E1|6.3972E1|2.0748E1|
1.9E-1|9.3180|4.2987E1|4.4559E1|6.3243E1|2.0395E1|
2E-1|9.1580|4.2340E1|4.3888E1|6.2519E1|2.0046E1|
2.2E-1|8.8620|4.1091E1|4.2578E1|6.1082E1|1.9359E1|
2.4E-1|8.5920|3.9904E1|4.1320E1|5.9663E1|1.8685E1|
2.5E-1|8.4650|3.9333E1|4.0713E1|5.8961E1|1.8354E1|
2.6E-1|8.3410|3.8776E1|4.0121E1|5.8265E1|1.8025E1|
2.8E-1|8.1030|3.7702E1|3.8982E1|5.6888E1|1.7378E1|
3.0E-1|7.8730|3.6675E1|3.7904E1|5.5536E1|1.6744E1|
