Photon   |Coherent|Incoher.|Photoel.|Tot. w/ |
Energy   |Scatter.|Scatter.|Absorb. |Coherent|

1.000E-03|8.418E+00|4.688E-03|9.087E+03|9.096E+03|
1.035E-03|8.388E+00|4.972E-03|8.450E+03|8.458E+03|
1.072E-03|8.357E+00|5.272E-03|7.858E+03|7.867E+03|
1.072E-03|8.357E+00|5.272E-03|8.195E+03|8.204E+03|
1.500E-03|7.958E+00|8.969E-03|3.911E+03|3.919E+03|
2.000E-03|7.446E+00|1.342E-02|1.989E+03|1.997E+03|
3.000E-03|6.463E+00|2.190E-02|7.355E+02|7.420E+02|
4.000E-03|5.628E+00|2.932E-02|3.551E+02|3.608E+02|
4.557E-03|5.229E+00|3.296E-02|2.539E+02|2.591E+02|
4.557E-03|5.229E+00|3.296E-02|7.498E+02|7.550E+02|
4.702E-03|5.133E+00|3.387E-02|7.027E+02|7.079E+02|
4.852E-03|5.035E+00|3.479E-02|6.587E+02|6.637E+02|
4.852E-03|5.035E+00|3.479E-02|8.883E+02|8.934E+02|
5.000E-03|4.940E+00|3.568E-02|8.380E+02|8.430E+02|
5.188E-03|4.821E+00|3.679E-02|7.616E+02|7.665E+02|
5.188E-03|4.821E+00|3.679E-02|8.788E+02|8.837E+02|
6.000E-03|4.356E+00|4.129E-02|6.131E+02|6.175E+02|
8.000E-03|3.446E+00|5.106E-02|2.886E+02|2.921E+02|
1.000E-02|2.798E+00|5.955E-02|1.597E+02|1.626E+02|
1.500E-02|1.843E+00|7.578E-02|5.320E+01|5.511E+01|
2.000E-02|1.312E+00|8.646E-02|2.404E+01|2.543E+01|
3.000E-02|7.455E-01|9.908E-02|7.716E+00|8.561E+00|
3.317E-02|6.430E-01|1.016E-01|5.808E+00|6.553E+00|
3.317E-02|6.430E-01|1.016E-01|3.508E+01|3.583E+01|
4.000E-02|4.859E-01|1.057E-01|2.151E+01|2.210E+01|
5.000E-02|3.452E-01|1.093E-01|1.187E+01|1.232E+01|
6.000E-02|2.577E-01|1.110E-01|7.208E+00|7.577E+00|
8.000E-02|1.584E-01|1.115E-01|3.240E+00|3.510E+00|
1.000E-01|1.073E-01|1.100E-01|1.725E+00|1.942E+00|
1.500E-01|5.220E-02|1.036E-01|5.419E-01|6.978E-01|
2.000E-01|3.087E-02|9.709E-02|2.383E-01|3.663E-01|
3.000E-01|1.440E-02|8.627E-02|7.650E-02|1.772E-01|
4.000E-01|8.295E-03|7.811E-02|3.525E-02|1.217E-01|
5.000E-01|5.381E-03|7.175E-02|1.988E-02|9.701E-02|
6.000E-01|3.771E-03|6.663E-02|1.274E-02|8.313E-02|
8.000E-01|2.143E-03|5.875E-02|6.596E-03|6.749E-02|
1.000E+00|1.379E-03|5.291E-02|4.120E-03|5.841E-02|
1.022E+00|1.321E-03|5.234E-02|3.922E-03|5.759E-02|
1.250E+00|8.860E-04|4.737E-02|2.645E-03|5.109E-02|
1.500E+00|6.164E-04|4.309E-02|1.893E-03|4.647E-02|
2.000E+00|3.476E-04|3.681E-02|1.152E-03|4.124E-02|
2.044E+00|3.329E-04|3.635E-02|1.111E-03|4.094E-02|
3.000E+00|1.547E-04|2.898E-02|6.112E-04|3.716E-02|
4.000E+00|8.713E-05|2.418E-02|4.046E-04|3.607E-02|
5.000E+00|5.576E-05|2.088E-02|2.992E-04|3.608E-02|
6.000E+00|3.873E-05|1.846E-02|2.361E-04|3.655E-02|
7.000E+00|2.846E-05|1.659E-02|1.944E-04|3.729E-02|
8.000E+00|2.179E-05|1.510E-02|1.650E-04|3.815E-02|
9.000E+00|1.722E-05|1.389E-02|1.431E-04|3.907E-02|
1.000E+01|1.395E-05|1.286E-02|1.262E-04|4.002E-02|
1.100E+01|1.153E-05|1.200E-02|1.129E-04|4.097E-02|
1.200E+01|9.685E-06|1.125E-02|1.021E-04|4.192E-02|
1.300E+01|8.252E-06|1.060E-02|9.310E-05|4.283E-02|
1.400E+01|7.118E-06|1.003E-02|8.556E-05|4.371E-02|
1.500E+01|6.198E-06|9.524E-03|7.915E-05|4.455E-02|
1.600E+01|5.448E-06|9.068E-03|7.365E-05|4.534E-02|
1.800E+01|4.305E-06|8.285E-03|6.459E-05|4.683E-02|
2.000E+01|3.487E-06|7.640E-03|5.751E-05|4.823E-02|
2.200E+01|2.882E-06|7.099E-03|5.182E-05|4.954E-02|
2.400E+01|2.422E-06|6.634E-03|4.717E-05|5.076E-02|
2.600E+01|2.063E-06|6.231E-03|4.327E-05|5.190E-02|
2.800E+01|1.779E-06|5.875E-03|3.996E-05|5.295E-02|
3.000E+01|1.550E-06|5.562E-03|3.712E-05|5.396E-02|
4.000E+01|8.717E-07|4.421E-03|2.738E-05|5.806E-02|
5.000E+01|5.581E-07|3.691E-03|2.169E-05|6.127E-02|
6.000E+01|3.875E-07|3.180E-03|1.795E-05|6.382E-02|
8.000E+01|2.180E-07|2.508E-03|1.335E-05|6.762E-02|
1.000E+02|1.395E-07|2.082E-03|1.062E-05|7.041E-02|
1.500E+02|6.198E-08|1.482E-03|7.033E-06|7.493E-02|
2.000E+02|3.487E-08|1.162E-03|5.258E-06|7.768E-02|
3.000E+02|1.550E-08|8.238E-04|3.493E-06|8.092E-02|
4.000E+02|8.717E-09|6.454E-04|2.615E-06|8.279E-02|
5.000E+02|5.581E-09|5.339E-04|2.090E-06|8.401E-02|
6.000E+02|3.874E-09|4.573E-04|1.740E-06|8.491E-02|
8.000E+02|2.179E-09|3.571E-04|1.304E-06|8.609E-02|
1.000E+03|1.395E-09|2.938E-04|1.043E-06|8.686E-02|
1.500E+03|6.198E-10|2.052E-04|6.947E-07|8.800E-02|
2.000E+03|3.487E-10|1.588E-04|5.206E-07|8.864E-02|
3.000E+03|1.550E-10|1.104E-04|3.471E-07|8.929E-02|
4.000E+03|8.717E-11|8.523E-05|2.603E-07|8.966E-02|
5.000E+03|5.581E-11|6.971E-05|2.082E-07|8.989E-02|
6.000E+03|3.874E-11|5.908E-05|1.735E-07|9.003E-02|
8.000E+03|2.179E-11|4.553E-05|1.301E-07|9.026E-02|
1.000E+04|1.395E-11|3.718E-05|1.041E-07|9.040E-02|
1.500E+04|6.198E-12|2.569E-05|6.938E-08|9.059E-02|
2.000E+04|3.487E-12|1.975E-05|5.201E-08|9.068E-02|
3.000E+04|1.550E-12|1.362E-05|3.468E-08|9.077E-02|
4.000E+04|8.717E-13|1.046E-05|2.601E-08|9.082E-02|
5.000E+04|5.581E-13|8.518E-06|2.081E-08|9.087E-02|
6.000E+04|3.874E-13|7.199E-06|1.734E-08|9.087E-02|
8.000E+04|2.179E-13|5.519E-06|1.301E-08|9.091E-02|
1.000E+05|1.395E-13|4.491E-06|1.041E-08|9.091E-02|
